Utiliser;pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;;;;;
oui;États-Unis;New York;;"Découverte en 1524 par le navigateur italien Giovanni da Verrazzano, les premiers colons Néerlandais s’y installèrent en 1624 et pour former la colonie de la ""Nouvelle-Amsterdam"". Conquise en 1664 par les Anglais, la ville prend le nom de New York. Place stratégique dans la guerre d'indépendance américaine (1775 -1783) la ville devint une métropole mondiale au début du XXème siècle.
Porte d’entrée des Etas-Unis depuis 1820, la ""Big Apple"" est très cosmopolite. Davantage internationale qu’américaine, chaque communauté se concentre dans un endroit de la ville : Chinatown, Little Italy ou encore Harlem en sont toujours de bons exemples.
Plébiscitée par les voyageurs du monde entier, il y a énormément de choses à voir à New York. Statue de la liberté, Empire State Building, pont de Brooklyn (voir photo), Central Park ou encore Times Square, impossible de s’ennuyer à New York !";"> Visiter l'Empire State Building de nuit (il ferme à 2h du matin). Avantages: éviter l'interminable file d'attente et avoir une vue splendide de NY de nuit.
> Assister à une messe gospel dans Harlem pour ressentir la joie et la ferveur des fidèles. Nous conseillons Convent Avenue Baptist Church ou Mother Zion Church.
> Pour le shopping, direction l'emblématique Macy's. 12 étages, 1 hectare de rayonnage ... Astuce: présentez-vous au Visitor center avec votre ID pour bénéficier des 10% de réduction accordés aux touristes.
> Pique-niquer et se balader dans Central Park: vélo, bateau, zoo, jardins aménagés, chateau ... le parc regorge de choses à faire et à voir.
> De mai à septembre, aller au Bryant Park: cours de yoga, de danse, d'escrime, festival du film ... de nombreuses activités y sont proposées gratuitement (et le WIFI).
> En prendre plein les yeux en allant à Time's Square le soir et être impressionné par l'activité incessante de l'endroit.";43;53;0;0;0;1;3;3;3;3;3;1;0;0;40.7590453;-73.9862683;;;;;
oui;États-Unis;Nouvelle Orleans;;"Fondée en 1718 par des colons français dans le delta du Mississippi, la ville a dès le début la réputation d'une ville libre et joyeuse, avec ses fêtes et ses bonnes tables. Cédé à l’empire Espagnol en 1762, puis récupérer par la France en 1800, la ville est finalement vendue aux  États-Unis en 1803 par Napoléon Bonaparte.
La Nouvelle-Orléans est l'un des joyaux des États-Unis, elle a gardé son architecture coloniale dans le quartier Français créole du Vieux Carré, célèbre pour ses balcons en fer forgé. La ville, est également connue pour être le berceau du jazz, les trompettes swinguent encore dans les rues autour de Bourbon Street.";"> Goûter un Gumbo (soupe épaisse à l'écrevisse) au marché pour quelques dollars.
> Déambuler dans le vieux carré, quartier le plus emblématique de la ville.
> S'attabler au ""Café du monde"" pour tester leur fameux beignet.
> Embarquer sur un steamboat pour une croisière de 2h sur le Mississipi.
> S'installer au ""Spotted Cat"" pour un concert de musique jazz ou country (entrée gratuite).
> Louer une voiture pour se rendre à la plantation Houmas House, et se visiter avec un guide en tenue d'époque.";22;33;1;2;2;2;2;2;2;2;2;3;3;1;29.9619947;-90.0623861;;;;;
non;États-Unis;San Francisco;;;"> Passer la journée au California Institute of Science. Entre la forêt tropicale, le simulateur de tremblement de terre, le cinéma ... il y a de quoi s'occuper et apprendre.
> Admirer un vision panoramique de la ville depuis les Twin Peaks.
> Pique niquer au Palace of Fine art, un grand parc avec un très beau théatre construit pour l'exposition universelle de 1910.
> Visiter la fameuse prison d'Alcatraz. Pensez à emporter un pique-nique afin de pouvoir s'installer tranquillement sur les tables prévues à cet effet un fois là-bas.
> Prendre un des ""Cable car"" (tram), les derniers opérationnels au monde et qui, malgrè leur lenteur, font partie du charme de la ville.
> Aller à Sausalito, mignonne petite ville avec une magnifique vue sur SF. De plus, cela vous donnera l'occasion de passer sur le Golden Bridge ! Immanquable";45;46;1;1;1;1;3;3;3;3;3;3;3;1;37.7685303;-122.4753509;;;;;
non;États-Unis;Washington;oui;;"> Laissez vous charmer par une représentation de l'orchestre symphonique national des États-Unis au centre Kennedy.
 
 > Visiter la fameuse maison blanche. Attention: arriver 15 minutes en avance, avoir sur soi son passeport et interdiction aux sacs, appareils photos, bouteille d'eau... 
 
 > Voguer à bord d'un bateau sur la rivière Potomac en appréciant la vue.
 
 > Profiter de la verdure du parc Lafayette.
 
 > Déambuler dans les rues de Chinatown.
 
 > Contempler depuis le pont Théodore Roosevelt la ville de Washington qui s'illumine au crépuscule";27;46;0;0;1;1;3;3;2;3;3;1;1;0;38.8976972;-77.0367739;;;;;
non;Finlande;Helsinki;;;"> Flâner sur l'esplanade par une nuit blanche de juin.
> Garder les yeux visser au ciel dans l'espoir d'apercevoir une aurore boréale (entre février et avril)
> Prendre une pause au café Fazer sans oublier de goûter leurs délicieux chocolats.";;55;0;0;0;0;1;1;3;3;1;1;0;0;60.1683675;24.9598481;;;;;
non;France;Bordeaux;;;"> Faire un arrêt dans un magasin Baillardran pour déguster un véritable canelé
> Se faire plaisir sans se ruiner en faisant un tour dans un des magasins d'usine de grandes marques, le long des quais
> A vélo, faire le tour des vignobles du Pessac Leognan pour découvrir les meilleurs vins de la région (Pape Clément, Haut Bailly ...).
> Traverser la plus grande place d'Europe, la place des Quiconces et observer la fontaine des Girondins";23;31;2;2;2;2;2;3;3;3;3;2;2;2;44.8415719;-0.570082;;;;;
non;France;Lyon;;;"> Pour les gourmands, éveiller ses sens en promenant dans les halles de Lyon.
> Les jours de beaux temps, balader au parc de la tête d'or et voir le zoo (gratuit).
> Dîner dans un des fameux bouchon lyonnais et déguster une spécialité (graton, quenelle, abats, tarte à la praline ...).
> Boire un verre sur une péniche des quais du Rhones.
> Déambuler dans les ruelles pavés du vieux Lyon.
> Monter à Fourvière pour une vue imprenable sur la ville.
> Savourer une glace chez Nardone, meilleur glacier artisanal de la région.
> Venir le weekend du 8 décembre pour la fête des lumières où les façades des monuments se parent de jeux de lumières et de musique.";20;28;1;2;2;2;2;3;3;3;3;2;2;2;45.7635056;4.8492387;;;;;
non;France;Nice;;;;18;43;2;2;2;2;3;3;3;3;3;3;2;2;43.6950824;7.2576875;;;;;
oui;France;Paris;oui;"A l’origine une petite ville gallo-romaine appelé Lutèce, la ville s’est développé jusqu’à devenir la capitale de la France. Berceau de la révolution Française, c’est ici que sont nés les idées des lumières, notamment les droits de l’Homme. 
De nombreux musées et monuments mondialement connus se trouvent à Paris : le musée Louvre composé de plus de 460 000 œuvres, Notre Dame de Paris, la Tour Eiffel ou encore le chateau de Versailles.
De Victor Hugo à Woody Allen, Paris, la ville lumière, a inspirés nombres de poètes, peintres, romancier et cinéastes du monde entier. Les bords de Seine, les terrasses de cafés, les bistrots et ses nombreux parcs font de Paris une ville où il fait bon flâner en amoureux.";" > Faire une promenade en bateau-mouche de nuit pour profiter des illuminations sur les façades.
 
 > Pique-niquer sur le champs de Mars
 
 > Diner dans le quartier latin pour profiter de l'animation
 
 > Assister à l'un des multiples spectacles et concerts parisiens.

> ASTUCE: réserver en ligne (ceetiz) son billet coupe-file pour la tour eiffel afin d'économiser 1h d'attente";23;51;2;2;2;2;2;3;3;3;3;2;2;2;48.8580101;2.2946583;;;;;
non;Grèce;Athènes;oui;;"> Se balader dans les quartiers de Monastiraki et de Plaka
 
 > Assister à un spectacle Karaghiozis
 
 > Se rendre au grand marché d'Athènes ou encore au marché aux puces de Monastiraki
 
 > Passer une soirée dans une taverne et écouter les orchestres de danses traditionnelles";16;39;1;1;2;3;3;3;3;3;3;3;3;2;37.9715327;23.724527;;;;;
non;Grèce;Rhodes;;;;14;26;1;1;2;3;3;3;3;3;3;3;2;1;36.445076;28.224396;;;;;
non;Guatemala;Tikal;;;;7;14;3;3;3;3;2;0;0;0;0;2;3;3;17.2219675;-89.6232897;;;;;
oui;Hongrie;Budapest;oui;"Situé au cœur de l’Europe centrale, Budapest déploie sa splendeur sur les rives du Danube. Surnommé la ""Perle du Danube"", la ville est coupé en deux. D’un côté la colline de Buda, composé du château royal, de musées et de maison du XVIIIème siècle. De l’autre Pest, une vaste plaine où le centre économique et politique de la ville s’est développée.
Très prospère avant la seconde guerre mondiale, le nazisme puis le communisme ont appauvrie la ville. Peu à peu Budapest s’est relevé jusqu’à retrouver son lustre d’antan. Aujourd’hui Budapest est une capitale bouillonnante, jeune et pleine de vie.";"> Ecouter de la musique gratuitement dans un des nombreux bars et romkert du quartier juif 
> Parcourir le cimetière bucolique de Kerepesi.
> Participer au festival de Sziget, plus grande manifestation théâtrale et musicale d'Europe centrale.
> Se joindre à un free walking tour pour découvrir la ville (disponible en anglais ou espagnol).
> Se relaxer dans une des nombreuses sources thermales réputées depuis les Romains. ASTUCE: certains proposent des réductions avant 12h ou après 17h.
> Se rendre au Château, inscrit depuis 1987 au Patrimoine mondial de l'Humanité par l'UNESCO.
> Observer la ville depuis le Mont Gellért qui abrite la citadelle.
> Faire du canoë et se détendre au parc Városliget";9;19;0;0;1;1;3;3;3;3;3;1;1;0;47.5028546;19.057073;;;;;
non;Indonésie;Jakarta;oui;;"> Visiter une des dernières fabriques traditionnelles de gong à Bogor.
> Balader dans le Taman Mini Indonesia Indah, un parc culturel où sont réunis 26 pavillons distincts représentant chacun une provine avec son architecture, ses costumes, ses musiques et ses danses traditionnels.
> S'essayer à l'art de faire son propre batik au musée du Textile (attention l'atelier ferme tôt).
> Voir un théâtre de marionnettes, érigé véritablement en art.
> Découvrir un côté plus pittoresque et historique de la ville en se promenant sur le Pelabuhan Sunda Kelapa (port). A visiter plutot de bonne heure.
> Se rendre au musée privé Museum Di Tengah Kebun, édifié dans la véranda d'un particulier.";9;14;0;0;0;2;2;3;3;3;3;2;2;0;-6.1753871;106.8249641;;;;;
non;Irlande;Dublin;oui;;"> Visiter la Guiness Storehouse pour déguster la fameuse bière et en découvrir les secrets de fabrication.
> Flâner dans le campus du Trinity Collège et en profiter pour aller voir le précieux Book of Kells.
> Découvrir le Dublin authentique en arpentant le quartier des liberties.";15;52;2;2;2;2;2;2;3;3;2;2;2;2;53.3484209;-6.2784541;;;;;
non;Islande;Reykjavik;oui;;"> Se prélasser de nuit dans les yeux sulfureuses et turquoise des piscines naturelles du Blue Lagoon.
> Réchauffer vous dans les bars le weekend
> Parcourir les 300km de la route du Cercle d'Or qi commence et termine à Reykjavic.
> Pour les aventuriers, goûter des spécialités locals tel que le Hakarl (requin faisandé).";24;50;0;0;0;1;1;1;1;1;1;1;0;0;64.142562;-21.927849;;;;;
non;Israël;Jerusalem;oui;;;17;46;1;1;1;2;3;3;3;3;3;3;3;1;31.7767006;35.2336502;;;;;
non;Italie;Florence;;;"> Balader dans la campagne environnante, l'une des plus belles d'Italie
> Redécouvrir les oeuvres de Boticelli dans la Galerie des offices (penser à réserver).
> Baladet dans le marché couvert de San Lorenzo et profiter des excellent produits locaux";19;38;1;1;2;3;3;3;3;3;3;3;1;1;43.7732178;11.2552536;;;;;
non;Italie;Naples;;;"> Découvrir les moeurs coquines des romains de l'antiquité en visitant le cabinet secret du musée d'archéologie.

> Profiter d'être dans la ville qui a vu naitre la pizza pour goûter une authentique pizza reine (aux couleurs de l'italie).
> Sortir de la ville et aller visiter Pompeï, ville antique figée depuis des siècles par l'éruption du Vésuve.";14;35;1;1;1;2;3;3;3;3;3;3;1;1;40.8493417;14.2543848;;;;;
non;Italie;Rome;oui;;"> Se sentir tout petit au pied de la statue de l'empereur Constantin au musée du capitole.
> Jeter une pièce dans la Fontaine de Trevi (en lui tournant le dos) pour être certain d'y revenir un jour.
 
 > Assister à des concerts de musique classique, de jazz et de rock.
 
 > Aller visiter le Vatican à midi pour faire moins de queue.
 
 > Sortir de Rome pour visiter les thermes de Caracalla, vestiges très bien conservés de thermes romains";20;50;1;1;1;2;3;3;3;3;3;3;1;1;41.9022329;12.4566503;;;;;
non;Italie;Venise;;;"> Faire une balade en gondole.
  (Ne pas hésiter à négocier)
 > Assister au Carnaval pour voir les magnifiques costumes
 
 > Visiter la Fenice, l'opera de Venise, un des temples les plus prestigieux de l'opera Italien.
 
 > Se perdre dans la multitudes de ses petites ruelles.
 
 > Découvrir l'art du verre sur l'île de Murano.
 
 > Goûter à l'authentique café italien sur la place Saint Marc.";18;55;1;1;1;2;3;3;3;3;3;3;1;1;45.4341705;12.3383349;;;;;
oui;Japon;Kyoto;;"Capitale du japon impérial du 9ème au 18ème siècle, Kyoto regorge d'attraits naturels et culturels tels que le fameux pavillon d'or, la forêt de bambou ou le palais impérial. C'est d'ailleurs grâce à cela qu'elle évita d'être la cible d'un bombardement atomique lors de la seconde guerre mondiale. Tout espoir de réconciliation ultérieure entre les USA et le Japon aurait été vain après de telles pertes historiques.
Au contraire de Tokyo, ville moderne et bouillonnante d'activité, Kyoto a su garder un charme désuet et son côté traditionnel. Entre ses 1000 temples bouddhistes, ses jardins parmi les plus beaux au monde, ses excellentes tables... le temps viendra à vous manquer pour tout découvrir.
Si vous y allez en Juillet, ne loupez pas le Gion Matsuri, plus beaux festivals du Japon. Ce sera aussi votre meilleure chance d'apercevoir les discrètes maikos et geishas. ";"> Visiter un (ou plusieurs) des 1600 temples que comptent la ville. Mention particulière pour le temple d'or, emblématique de la ville.
> Flâner dans le quartier traditionnel des geishas, Gion, d'en l'espoir d'en aperçevoir une entrer discrètement dans une des batisses en bois.
> Musarder sur le marché Nishiki, de loin le meilleur pour découvrir les spécialités culinaires locales.
> Gagner en zenitude dans un des jardins japonais des villas impériales.
> Passer sous les 1000 toris rouges du sanctuaire Fushimi Inari
> Balader dans les rues Sannenzaka & Ishibe Koji, qui vous donneront l'impression d'être dans un décor de film ninja.
> S'impregner de la culture nippone en allant voir un spectacle de Maiko au Yasaka Hall 
> Se perdre dans la forêt de banbom d'Arashiyama, près de Kyoto.";24;27;1;1;1;2;3;2;2;1;2;3;2;2;35.0394403;135.7285618;;;;;
non;Japon;Nagasaki;;;"> Se recueillir au musée de la bombe nucléaire.
> Balader dans le parc de la paix.
> Aller au Glover garden profiter de la vue sur le port de Nagasaki.";23;;1;1;1;2;2;0;0;2;0;2;1;1;32.7754761;129.8621213;;;;;
non;Japon;Tokyo;oui;;"> Assister au spectacle (gratuit) et étonnant de dizaines de personnes en cosplay le dimanche dans le quartier de Harajuku.
> Déambuler sur le plus grand marché au poisson du monde, Tsukiji, de préférence tôt le matin.
> Faire un voeu au temple Senso-ji
> S'immerger dans la culture nippone en allant dans un super sento (lieux de relaxation avec bains chaud (nu, thé, massage, chambre de relaxation...)
> Faire son geek dans le quartier de l'électronique, des jeux vidéos et d'informatique, Akhihabara.
> Balader le soir dans le quartier de Shibuya et profiter de l'animation.
> Prendre de la hauteur en montant au sommet de la Tour de Tokyo pour profiter de la vue sur la ville.";20;41;0;0;1;1;2;2;2;2;0;0;1;1;35.7100919;139.8103962;;;;;
non;Jordanie;Amman;oui;;;8;25;2;2;3;3;3;3;3;3;3;3;3;2;31.9540165;35.932637;;;;;
non;Jordanie;Petra;;;;15;;2;2;3;3;3;3;3;3;3;3;3;2;30.3290802;35.4441124;;;;;
non;Kenya;Nairobi;oui;;"> Approcher de près des giraffes et en apprendre plus sur elles au Giraffe Center.
> Visiter l'atelier de perles Kazuri, entièrement faites mains et revendues dans des boutiques de luxe.
> Observer les animaux sauvages dans le park national de Nairobi.
ASTUCE: Préférer les matatus (minivan locaux) aux taxis. Il vous en reviendra facilement 10 fois moins cher et les arrêts sont à la demande (taper sur l'épaule du chauffeur).";13;14;3;3;2;0;2;3;3;3;3;3;3;3;-1.3666613;36.8311446;;;;;
non;Laos;Luang Prabang;;;;6;16;3;3;2;2;1;1;0;0;1;2;3;3;19.8986086;102.1382389;;;;;
non;Laos;Vientiane;oui;;;6;12;3;3;3;3;0;0;0;0;0;3;3;3;17.9580464;102.6169315;;;;;
non;Malaisie;Kuala Lumpur;oui;;;6;24;2;0;0;0;0;2;3;2;0;0;0;0;3.1453099;101.6815901;;;;;
non;Maroc;Fes;;;;9;18;1;2;2;3;3;3;2;1;3;3;3;2;34.0292396;-5.0224494;;;;;
non;Maroc;Marrakech;;;;7;18;1;1;1;3;3;3;0;0;3;3;1;1;31.6172084;-7.9917199;;;;;
non;Mexique;Cancun;;;"> Compléter vos connaissances sur la culture maya avec une excursion à Tulumn ou Chichen Itza.
> En prendre plein les yeux en plongeant dans les eaux cristallines du parc de Kel Ha, dont la diversité des animaux est  fantastique.
> Se baigner dans le cenote de Gran Conoto ou Sac Aktum avec tortues, chauves souris... et moins touristique que celui de Ik-Kil.
> Découvrez l'histoire et la manière de déguster unn Tequila au Musée sensoriel Tequila Herradura.
> Profitez une journée de la beauté et du calme (relatif) de l'Isla Muejeres.
> Apprenez la vraie cuisine mexicaine avec le cours de cuisine de Can Cook Cancun.";11;19;3;3;3;3;2;2;2;2;2;2;3;3;21.1452425;-86.842383;;;;;
non;Mongolie;Oulan Bator;oui;;;8;14;0;0;0;0;0;1;3;1;1;0;0;0;47.9148841;106.9177042;;;;;
oui;Népal;Katmandou;oui;"Située dans les contreforts de l’Himalaya, Katmandou est le centre économique, culturel et politique du Népal. D’après l’histoire locale, elle a été bâtie il y a plus de 2000 ans. Au fil des différentes dynasties (Malla, Sha …), la vallée s’est enrichie de splendides monuments. Dans les années 1960, Katmandou devient une destination prisée des Hippies et voit se développer de nombreuses infrastructures touristiques.
La vallée de Katmandou est très riche culturellement. Elle réunit en son sein 7 sites classés au patrimoine mondial de l'UNESCO : 2 tombeaux hindous, 2 importantes Stûpas bouddhistes et 3 anciennes capitales royales. La vie quotidienne aussi vaut le coup d’œil : les ateliers d’artisanat, les temples cachés ou encore les cours où sèche le piment.
Aujourd’hui la ville se relève du séisme de 2014 et se reconstruit. Elle demeure un joyeux bazar, où l’agitation et les embouteillages n’ont d’égal que le patience et la gentillesse de sa population. Pour les sportifs, l'ascension de l'Himalaya reste un incontournable. Mais même sans cela, nous vous conseillons d’accorder une semaine à cette ville pour vous révéler son charme aux détours de ses ruelles.";;5;13;1;1;1;3;2;0;0;0;2;3;1;1;27.721414;85.3597323;;;;;
non;Nicaragua;Managua;oui;;;12,5;14;3;3;3;3;3;0;2;2;2;0;3;3;12.1256538;-86.2788069;;;;;
non;Norvège;Oslo;oui;;"> Monter sur le tremplin d'Holmenkollen pour profiter du panorama sur Oslo et son fjord.
 
 > Se prélasser dans un sauna d'Oslo.
 
 > Déguster un plat local dans un restaurant typique de la ville.
 
 > Se promener dans Frognerparken 
 
 > Assister à une représentation au théâtre de la ville.
 
 > Se rendre à l'opéra.";28;50;0;0;0;1;1;2;3;3;1;1;0;0;59.9076747;10.7361291;;;;;
non;Nouvelle-Zélande;Auckland;;;"> Lire un livre dans la bibliothèque en plein air à Marina Bay.
> Découvrir l'art Maori à l'Auckland Art Gallery (entrée gratuite).
> Monter au sommet du Mount Eden pour un panorama incroyable sur la ville.
> Aller voir un match de rugby au Stade Eden Park, ambiance assurée. 
> Observer la voutes céleste sous terre avec les vers luminescents des grottes de Waitomo (à 200 km d'Auckland).";18;36,5;3;3;3;3;3;2;2;2;2;2;2;3;-36.8596306;174.7757217;;;;;
non;Pays-Bas;Amsterdam;oui;;"> Faire des emplettes dans les multiples marchés d'Amsterdam : le marché aux fleurs flottant, le marché des antiquités , le marché Albert Cuyp...
 
 > Visiter le quartier des diamantaires et bénéficier de prix avantageux.
 
 > Faire du patin sur les canaux gelés en hiver.
 
 > Déambuler dans le quatier rouge (attention, caméra interdite).
 
 > Découvrir l'ambiance uique des coffee shop.
 
 > Pique-niquer dans le Vondel Park.
 
 > Visiter la ville comme les habitants, à bicyclette";22;58;0;0;1;2;3;3;3;3;2;1;1;1;52.3579946;4.8686484;;;;;
non;Pérou;Lima;oui;;"> Se promener dans le vieux Lima et découvrir son passé colonial.
 
 > Siroter un verre de pisco sur la place St-Martin.
 
 > Négocier le prix des marchandises au Mayorista, le grand marché-foire.
 
 > Monter en taxi et partir à la découverte des quartiers chics et résidentiels de Miraflores et de San Isidro, au sud de la ville.
 
 > Pratiquer un peu de trekking à l'Instituto Geografico Nacional.
 
 > Se détendre dans les jardins des quartiers de Miraflores, San Isidro
 
 > Se rendre à Barranco et à Chorrillos, endroit où est situé El Puente de los Suspiros (le Pont des Soupirs), lieu idyllique pour les amoureux.";9;21;3;3;3;3;3;3;3;3;3;3;3;3;-12.0461713;-77.031244;;;;;
non;Portugal;Lisbonne;oui;;"> Goûter les pâtisseries de l'Antigua Confeitera de Belém, notamment une pasteis de nata encore tiède.
> Flâner dans l'Estufa Fria, oasis hors du temps dans la ville.
 
 > Se rendre dans le quartier de Barrio Alto pour une de ses maisons de fado";11;35;1;1;2;3;3;3;3;3;3;3;3;1;-12.1206225;-77.0298484;;;;;
non;Qatar;Doha;oui;;;32;30;2;3;3;3;2;1;0;0;1;2;3;3;25.3707148;51.5444467;;;;;
oui;République Tchèque;Prague;Oui;"Située au centre des plaines de Bohême, Prague devient la capitale du Saint-Empire romain germanique en 1355. Elle est alors la troisième ville la plus peuplée d'Europe et un centre culturel et religieux très important. Sous domination Habsbourg (Autriche) pendant 400 ans la ville prend son indépendance à la fin de la première guerre mondiale et devient la capitale de la Tchécoslovaquie, puis de la République tchèque en 1993.
Surnommé la ""Ville aux cents clochés"", Prague est une ville d'une richesse culturelle fascinante. Elle a conservé les rues pavées, les nombreuses églises et son château de son passé médiéval.
Prague offres plusieurs visages à ses visiteurs, ville romantique où il fait bon se balader le soir, c’est également un des nouveaux lieux plébiscités par la jeunesse Européenne pour faire la fête, grâce notamment à ses prix très abordables.";"> Se balader sur la rue piétonne Celetna.
> Boire un verre d'absynthe dans une taverne afin de se sentir l'âme d'un poète (Verlaine, Oscar Wild et Rimbaud en consommaient).
> Gouter les bières Tchèques qui sont parmi les meilleures d'Europe.
> S'étonner devant l'étrange architecture de la maison dansante.
 > Se rendre au quartier Art Nouveau.
 > Se promener sur le quai Mazarykovo Nabrezi.
 > Flâner sur Vaclavske Namesti, les Champs-Élysées de Prague.";12;27;0;0;0;1;1;3;3;3;1;1;1;0;50.090638;14.399656;;;;;
non;Roumanie;Bucarest;oui;;"> Se balader dans le parc Herastrau.
> Commencer la soirée de fête dans un bar original comme le bicicleta.
> Visiter l'Athénée Roumain et profiter de son incroyable accoustique lors d'un concert (le prix ne dépasse pas 15 euros).
> Goûter la cuisine traditionnelle à la brasserie Caru Cu Bere.
> Sortir la nuit au ""Déjà Vu"" pour profiter de leur mise en scène du service (barman qui crache le feu pour enflammer votre verre...).
> Se découvrir l'âme d'un flambeur sans vous ruiner dans l'un des nombreux casino (mise minimal 0,30€, buffet à volonté)";7;21;0;0;0;1;2;2;3;3;3;1;1;0;44.441429;26.096827;;;;;
non;Royaume-Uni;Edimbourg;oui;;"> Vibrer au rythme des cornemuses lors du Military Tatoo, en été
> Goûter au fameux Haggis (sans demander de quoi il est constitué...)
> Lorgner sur la ville au travers du Periscope, une des plus vieilles attractions de la ville (1853)
> Assiter aux Higland Games et être impressionner par ses épreuves (lancer de tronc d'arbres , jet de panse de brebis..). Très viril même en kilt !
> Suivre le destin tragique de Marie Stuart au palais de Holyrood";14;53;2;2;2;2;2;2;3;3;2;2;2;2;55.9486908;-3.2010883;;;;;
non;Royaume-Uni;Londres;oui;;"> Aller dans le West End pour voir une représentation théâtrale ou une comédie musicale.
 
 > Boire une bière et manger un Fish'n chips dans un pub.
 
 > Se balader dans Hyde Park et Kensington Gardens.
 
 > Assister à la relève de la garde devant Buckingham Palace à 11h30 (durée : 45 minutes).
 
 > Faire les boutiques situées dans les célèbres endroits comme Oxford Streert, Regent Street, Covent Garden, King's Road, Soho, Harrod's ou encore Harvey'Nichols.
 
 > Dejeuner sur un des nombreux stands de nourriture du monde entier au marché de Camden Town.
 
 > Essayer la London Eye, la grande roue de Londres (si vous avez les moyens).";24;72;2;2;2;2;2;3;3;3;3;2;2;2;51.5082493;-0.0775694;;;;;
oui;Russie;Moscou;oui;"Moscou, capitale historique de la Russie, a subit les invasions mongoles et l’invasion de Napoléon. Délaissé par les Romanovs au profit de Saint-Pétersbourg en 1703, elle redevient le siège du pouvoir après la révolution Russe.
Nombres de choses sont à voir à Moscou, qui vous permettrons de parcourir l’histoire de la Russie : le Kremlin, la Place Rouge (photo ci-dessus), la cathédrale Saint-Basile et ses neuf dômes, le musée du KGB ou encore le mausolée de Lénine.
Malgré son aspect austère, l’ex-capitale Soviétique se métamorphose au fil du temps. Une jeunesse polyglotte, des défilés de mode et des hôtels de luxe émergent, témoignant de son ouverture. Pour autant, elle ne renie pas son passé. Aussi belle en hiver sous la neige, que sous le soleil d’été, Moscou vous captivera !";"> En prendre plein les yeux sur la place rouge, entre le Kremlin, le mausolé de Lénine et la magnifique cathédrale Basilique le bienheureux.
> Prendre un brunch à l’hôtel National avec vue sur le Kremlin.
> Admirer les décors du métro comme on admirerai un palais (quelques stations à ne pas manquer : Arbatskaya, Kievskaya, Komsomolskaya...).
> Economier en payant son billet de métro en faisant des squats à la station Vystavochaya.
> Visiter le théatre Bolchoï (ou y voir un opera si vous avez un gros budget ... ).
> Patiner sur les bassins du Parc Gorki.";9;36;0;0;0;1;1;3;3;3;1;1;0;0;55.7525259;37.6208981;;;;;
oui;Russie;Saint Petersbourg;;"Capitale de la Russie pendant deux siècles, Saint-Pétersbourg a été construite de toute pièce par le Tsar Pierre le Grand (1682 – 1725) sur un marais inhabité. Rapidement, la ville s’est dotée de palais somptueux et demeure aujourd’hui le symbole de la grandeur de la Russie des Tsars. 
Saint-Pétersbourg est inscrite à la liste du patrimoine mondiale de L’UNESCO. Elle est considérée comme une ville majeure sur le plan culturel du pays.  Elle abrite entre autre le musée de l’Ermitage (le plus grand musée d’art du monde), la cathédrale Saint-Sauveur (photo ci-dessus), plus de 250 musées et 4000 monuments classés !
C’est ici qu’a commencé la révolution Bolchevique en 1917, entrainant le déclin de la ville. Par la suite elle a été successivement appelé Pétrograd puis Léningrad. Ce n’est qu’après le référendum de 1991, à la fin de la guerre froide, que la ville a retrouvé son nom originel.";"> Explorer l'immanquable musée l'Ermitage. Acheter les billet sur internet pour ne pas faire la queue.
> Montée au sommet de la coupole dorée de la cathédrale Saint Isaac pour une vue magnifique du centre historique.
> S'immerger dans la culture locale en allant dans un bani (bains de vapeur + coup de fouet + bain froid = moins de toxines).
> Visiter l'un des emblèmes de la ville, l'église Saint Sauveur du Sang Versé.
> Se reposer de l'agitation urbaine dans un parc de l'île Elagin";6;26;0;0;0;1;1;3;3;3;1;1;0;0;59.9399684;30.3143337;;;;;
non;Singapour;Singapour;oui;;"> Faire un safari de nuit dans le zoo de Singapour.
> Observer le panorama depuis la plus haute grande roue du monde.
> Se promener sur la passerelle au coeur du Gardens by the bay, au paysage futuriste. Spectacle son et lumière gratuit à 19h45 et 20h45.
> Faire du Kayak dans les mangroves de Palau Ubin.
> Aller manger dans le quartier de china town.";16;38;0;2;0;2;2;2;2;0;2;0;0;0;1.2868533;103.8543954;;;;;
non;Suède;Stockholm;oui;;"> Dormir dans un trois mâts centenaire reconvertit en auberge de jeunesse (AF Chapman).
> Profiter de la vue depuis les globes de verre skyview.
> Se promener dans l'ambiance médiéval du quartier Gamla Stan.
> Avoir un premier aperçu de la vile avec le Free Walking Tour.
> Boire un verre au skybar Hemlin, un bar très branché du plus haut gratte ciel de la ville.
> Decouvrir le plus grand IKEA du monde et y retrouver les fameuses boulettes de viande.";25;58;0;0;0;1;1;3;3;3;1;1;1;0;59.3216697;17.8859742;;;;;
non;Suisse;Genève;;;;25;43;0;0;1;1;1;3;3;3;3;1;1;0;46.226609;6.1382926;;;;;
